area,Date,C_025,C_25,C_50,C_75,C_975,provenance
Reading,2020-11-14,29.7,32.8,35.9,40.0,42.1,inferred
Reading,2020-11-15,31.0,31.8,35.7,38.3,41.5,inferred
Reading,2020-11-16,29.8,33.1,35.5,39.0,42.4,inferred
Reading,2020-11-17,28.6,32.5,34.7,41.0,43.7,inferred
Reading,2020-11-18,28.6,32.2,34.7,43.0,44.6,inferred
Reading,2020-11-19,27.1,30.8,34.6,44.4,45.6,inferred
Reading,2020-11-20,26.2,29.5,35.0,45.6,46.6,inferred
South Northamptonshire,2020-08-01,0.4,0.4,0.4,0.4,0.4,inferred
South Northamptonshire,2020-08-02,0.4,0.4,0.4,0.4,0.4,inferred
South Northamptonshire,2020-08-03,0.4,0.4,0.4,0.4,0.4,inferred
South Northamptonshire,2020-08-04,0.4,0.4,0.4,0.4,0.4,inferred
South Northamptonshire,2020-08-05,0.3,0.4,0.4,0.4,0.5,inferred
South Northamptonshire,2020-08-06,0.3,0.3,0.4,0.4,0.5,inferred
South Northamptonshire,2020-08-07,0.3,0.3,0.4,0.5,0.6,inferred
South Northamptonshire,2020-08-08,0.3,0.4,0.4,0.4,0.7,inferred
South Northamptonshire,2020-08-09,0.3,0.4,0.4,0.5,0.7,inferred
South Northamptonshire,2020-08-10,0.3,0.4,0.5,0.5,0.7,inferred
South Northamptonshire,2020-08-11,0.4,0.4,0.5,0.5,0.7,inferred
South Northamptonshire,2020-08-12,0.4,0.4,0.5,0.6,0.8,inferred
South Northamptonshire,2020-08-13,0.4,0.4,0.5,0.7,0.9,inferred
South Northamptonshire,2020-08-14,0.4,0.4,0.5,0.7,1.0,inferred
South Northamptonshire,2020-08-15,0.4,0.4,0.5,0.8,1.1,inferred
South Northamptonshire,2020-08-16,0.4,0.5,0.6,0.9,1.1,inferred
South Northamptonshire,2020-08-17,0.4,0.5,0.6,1.0,1.1,inferred
South Northamptonshire,2020-08-18,0.4,0.5,0.7,1.0,1.2,inferred
South Northamptonshire,2020-08-19,0.4,0.6,0.7,0.9,1.3,inferred
South Northamptonshire,2020-08-20,0.5,0.7,0.8,0.9,1.5,inferred
South Northamptonshire,2020-08-21,0.6,0.8,0.9,1.0,1.6,inferred
South Northamptonshire,2020-08-22,0.7,0.8,1.0,1.1,1.5,inferred
South Northamptonshire,2020-08-23,0.7,0.9,1.0,1.1,1.5,inferred
South Northamptonshire,2020-08-24,0.7,1.0,1.1,1.1,1.6,inferred
South Northamptonshire,2020-08-25,0.8,1.0,1.1,1.2,1.6,inferred
South Northamptonshire,2020-08-26,0.8,1.0,1.2,1.3,1.7,inferred
South Northamptonshire,2020-08-27,0.9,1.0,1.2,1.3,1.6,inferred
South Northamptonshire,2020-08-28,1.0,1.1,1.2,1.4,1.7,inferred
South Northamptonshire,2020-08-29,1.1,1.1,1.2,1.4,1.9,inferred
South Northamptonshire,2020-08-30,0.9,1.2,1.3,1.4,2.0,inferred
South Northamptonshire,2020-08-31,0.8,1.3,1.4,1.5,2.0,inferred
South Northamptonshire,2020-09-01,0.8,1.3,1.5,1.8,1.9,inferred
South Northamptonshire,2020-09-02,0.8,1.3,1.5,1.8,2.0,inferred
South Northamptonshire,2020-09-03,0.9,1.5,1.6,1.9,2.0,inferred
South Northamptonshire,2020-09-04,1.0,1.5,1.7,2.0,2.1,inferred
South Northamptonshire,2020-09-05,1.2,1.5,1.8,1.9,2.4,inferred
South Northamptonshire,2020-09-06,1.4,1.5,1.7,2.0,2.6,inferred
South Northamptonshire,2020-09-07,1.5,1.5,1.7,2.1,2.8,inferred
South Northamptonshire,2020-09-08,1.4,1.5,1.7,2.1,2.8,inferred
South Northamptonshire,2020-09-09,1.3,1.4,1.8,2.0,2.5,inferred
South Northamptonshire,2020-09-10,1.2,1.3,1.8,2.0,2.2,inferred
South Northamptonshire,2020-09-11,1.1,1.3,1.7,2.0,2.1,inferred
South Northamptonshire,2020-09-12,1.1,1.3,1.7,2.0,2.0,inferred
South Northamptonshire,2020-09-13,1.1,1.4,1.7,1.9,2.1,inferred
South Northamptonshire,2020-09-14,1.2,1.5,1.8,1.9,2.2,inferred
South Northamptonshire,2020-09-15,1.1,1.7,1.8,2.1,2.1,inferred
South Northamptonshire,2020-09-16,1.1,1.7,1.9,2.0,2.5,inferred
South Northamptonshire,2020-09-17,1.2,1.6,1.9,2.3,2.8,inferred
South Northamptonshire,2020-09-18,1.4,1.7,2.0,2.6,3.0,inferred
South Northamptonshire,2020-09-19,1.4,1.8,2.0,2.9,3.0,inferred
South Northamptonshire,2020-09-20,1.5,1.8,2.1,2.7,3.3,inferred
South Northamptonshire,2020-09-21,1.5,1.9,2.1,2.5,3.5,inferred
South Northamptonshire,2020-09-22,1.4,2.0,2.2,2.5,3.6,inferred
South Northamptonshire,2020-09-23,1.6,2.0,2.2,2.4,3.7,inferred
South Northamptonshire,2020-09-24,1.8,2.1,2.3,2.6,3.5,inferred
South Northamptonshire,2020-09-25,2.0,2.3,2.5,2.7,3.2,inferred
South Northamptonshire,2020-09-26,2.1,2.3,2.7,3.0,3.1,inferred
South Northamptonshire,2020-09-27,2.2,2.5,3.1,3.4,3.5,inferred
South Northamptonshire,2020-09-28,2.4,2.7,3.5,3.7,3.9,inferred
South Northamptonshire,2020-09-29,2.7,2.7,3.9,4.2,4.3,inferred
South Northamptonshire,2020-09-30,2.9,3.1,4.3,4.8,5.1,inferred
South Northamptonshire,2020-10-01,3.1,3.7,4.6,5.4,5.7,inferred
South Northamptonshire,2020-10-02,3.5,4.6,5.1,5.7,6.1,inferred
South Northamptonshire,2020-10-03,4.1,5.3,5.7,6.2,7.0,inferred
South Northamptonshire,2020-10-04,4.9,5.8,6.2,6.8,7.7,inferred
South Northamptonshire,2020-10-05,5.6,6.5,6.7,7.8,8.5,inferred
South Northamptonshire,2020-10-06,6.2,7.3,7.6,8.0,10.0,inferred
South Northamptonshire,2020-10-07,6.8,7.8,8.1,8.9,11.4,inferred
South Northamptonshire,2020-10-08,7.2,8.3,8.8,10.3,12.4,inferred
South Northamptonshire,2020-10-09,7.3,8.8,9.5,11.3,12.8,inferred
South Northamptonshire,2020-10-10,7.5,9.5,10.4,12.2,13.1,inferred
South Northamptonshire,2020-10-11,7.8,10.2,11.2,11.9,14.1,inferred
South Northamptonshire,2020-10-12,8.5,10.5,11.5,12.3,14.4,inferred
South Northamptonshire,2020-10-13,9.4,10.8,11.5,13.1,14.8,inferred
South Northamptonshire,2020-10-14,10.4,11.2,11.8,13.8,14.9,inferred
South Northamptonshire,2020-10-15,11.5,11.6,12.4,13.7,14.8,inferred
South Northamptonshire,2020-10-16,12.0,12.2,13.0,13.7,15.8,inferred
South Northamptonshire,2020-10-17,12.7,12.9,13.2,14.1,17.0,inferred
South Northamptonshire,2020-10-18,12.8,13.5,14.0,14.3,18.2,inferred
South Northamptonshire,2020-10-19,13.2,14.2,14.2,14.9,19.5,inferred
South Northamptonshire,2020-10-20,13.5,13.7,14.3,15.9,20.8,inferred
South Northamptonshire,2020-10-21,12.3,13.8,14.6,16.2,21.1,inferred
South Northamptonshire,2020-10-22,11.2,14.3,15.0,15.6,20.2,inferred
South Northamptonshire,2020-10-23,10.9,14.7,15.0,16.3,18.6,inferred
South Northamptonshire,2020-10-24,11.6,14.7,15.2,16.5,17.5,inferred
South Northamptonshire,2020-10-25,13.0,14.9,15.7,16.8,18.8,inferred
South Northamptonshire,2020-10-26,13.8,15.5,16.3,17.2,19.9,inferred
South Northamptonshire,2020-10-27,14.8,15.7,16.6,17.7,20.6,inferred
South Northamptonshire,2020-10-28,14.6,16.8,17.3,18.5,21.2,inferred
South Northamptonshire,2020-10-29,14.0,17.8,18.1,18.8,21.8,inferred
South Northamptonshire,2020-10-30,14.0,18.8,19.3,19.9,22.2,inferred
South Northamptonshire,2020-10-31,14.7,19.2,20.6,20.9,22.8,inferred
South Northamptonshire,2020-11-01,15.8,20.4,21.5,22.4,23.9,inferred
South Northamptonshire,2020-11-02,17.4,21.1,22.8,24.2,25.3,inferred
South Northamptonshire,2020-11-03,19.4,21.8,24.2,26.3,26.5,inferred
South Northamptonshire,2020-11-04,21.4,22.1,25.0,26.5,28.5,inferred
South Northamptonshire,2020-11-05,22.4,24.0,25.6,26.2,30.5,inferred
South Northamptonshire,2020-11-06,23.2,25.7,26.4,26.9,31.6,inferred
South Northamptonshire,2020-11-07,24.7,26.6,27.8,29.1,31.1,inferred
South Northamptonshire,2020-11-08,26.8,27.8,29.2,30.4,31.1,inferred
South Northamptonshire,2020-11-09,28.0,29.2,30.1,31.9,33.8,inferred
South Northamptonshire,2020-11-10,29.1,29.8,32.2,33.0,36.9,inferred
South Northamptonshire,2020-11-11,29.5,30.6,32.7,34.1,39.5,inferred
South Northamptonshire,2020-11-12,28.9,31.1,32.6,34.1,41.1,inferred
South Northamptonshire,2020-11-13,28.3,30.9,33.0,33.5,41.0,inferred
South Northamptonshire,2020-11-14,28.2,30.3,32.4,35.1,39.1,inferred
South Northamptonshire,2020-11-15,29.0,29.6,32.0,33.6,36.9,inferred
South Northamptonshire,2020-11-16,28.5,30.0,32.0,33.7,38.0,inferred
South Northamptonshire,2020-11-17,27.3,30.3,32.0,33.0,37.9,inferred
South Northamptonshire,2020-11-18,26.5,29.8,31.2,32.3,36.9,inferred
South Northamptonshire,2020-11-19,26.6,28.5,30.0,31.6,35.7,inferred
South Northamptonshire,2020-11-20,25.1,27.5,29.2,31.3,34.8,inferred
South Oxfordshire,2020-08-01,0.9,0.9,0.9,0.9,1.0,inferred
South Oxfordshire,2020-08-02,1.0,1.0,1.0,1.0,1.0,inferred
South Oxfordshire,2020-08-03,0.9,0.9,0.9,1.0,1.0,inferred
South Oxfordshire,2020-08-04,0.8,0.8,0.8,0.8,0.9,inferred
South Oxfordshire,2020-08-05,0.6,0.7,0.7,0.7,0.9,inferred
South Oxfordshire,2020-08-06,0.5,0.6,0.7,0.8,0.9,inferred
South Oxfordshire,2020-08-07,0.5,0.6,0.8,0.9,1.0,inferred
South Oxfordshire,2020-08-08,0.6,0.7,0.9,1.0,1.1,inferred
South Oxfordshire,2020-08-09,0.7,0.8,0.9,1.1,1.1,inferred
South Oxfordshire,2020-08-10,0.8,0.9,1.0,1.1,1.2,inferred
South Oxfordshire,2020-08-11,0.8,1.0,1.1,1.2,1.2,inferred
South Oxfordshire,2020-08-12,0.8,1.0,1.2,1.3,1.3,inferred
South Oxfordshire,2020-08-13,0.8,1.1,1.2,1.4,1.5,inferred
South Oxfordshire,2020-08-14,0.7,1.2,1.3,1.6,1.7,inferred
South Oxfordshire,2020-08-15,0.8,1.2,1.3,1.7,2.0,inferred
South Oxfordshire,2020-08-16,0.9,1.1,1.5,1.8,2.1,inferred
South Oxfordshire,2020-08-17,1.0,1.1,1.6,1.8,2.3,inferred
South Oxfordshire,2020-08-18,1.1,1.2,1.8,1.9,2.3,inferred
South Oxfordshire,2020-08-19,1.2,1.4,1.7,2.0,2.2,inferred
South Oxfordshire,2020-08-20,1.2,1.4,1.7,2.1,2.1,inferred
South Oxfordshire,2020-08-21,1.1,1.3,1.8,2.0,2.0,inferred
South Oxfordshire,2020-08-22,1.1,1.2,1.6,1.9,2.2,inferred
South Oxfordshire,2020-08-23,1.1,1.3,1.5,2.0,2.2,inferred
South Oxfordshire,2020-08-24,1.1,1.3,1.5,1.9,2.2,inferred
South Oxfordshire,2020-08-25,1.2,1.3,1.5,1.8,2.2,inferred
South Oxfordshire,2020-08-26,1.2,1.5,1.6,1.7,2.3,inferred
South Oxfordshire,2020-08-27,1.3,1.4,1.6,1.9,2.5,inferred
South Oxfordshire,2020-08-28,1.3,1.4,1.5,2.0,2.7,inferred
South Oxfordshire,2020-08-29,1.2,1.3,1.5,1.7,2.9,inferred
South Oxfordshire,2020-08-30,1.2,1.3,1.5,1.7,2.8,inferred
South Oxfordshire,2020-08-31,1.2,1.3,1.5,1.9,2.6,inferred
South Oxfordshire,2020-09-01,1.2,1.3,1.6,2.1,2.5,inferred
South Oxfordshire,2020-09-02,1.3,1.5,1.8,2.1,2.6,inferred
South Oxfordshire,2020-09-03,1.2,1.7,1.9,2.1,2.8,inferred
South Oxfordshire,2020-09-04,1.2,1.8,1.9,2.1,2.9,inferred
South Oxfordshire,2020-09-05,1.1,1.8,1.9,2.1,2.9,inferred
South Oxfordshire,2020-09-06,1.2,1.9,1.9,2.1,2.8,inferred
South Oxfordshire,2020-09-07,1.3,1.9,2.0,2.2,2.8,inferred
South Oxfordshire,2020-09-08,1.5,1.8,2.0,2.2,2.6,inferred
South Oxfordshire,2020-09-09,1.6,1.7,2.0,2.2,2.5,inferred
South Oxfordshire,2020-09-10,1.4,1.7,1.9,2.2,2.3,inferred
South Oxfordshire,2020-09-11,1.3,1.5,1.9,2.1,2.3,inferred
South Oxfordshire,2020-09-12,1.2,1.3,1.8,2.1,2.5,inferred
South Oxfordshire,2020-09-13,1.0,1.3,1.7,2.0,2.6,inferred
South Oxfordshire,2020-09-14,1.1,1.5,1.7,2.0,2.5,inferred
South Oxfordshire,2020-09-15,1.2,1.6,1.8,2.0,2.4,inferred
South Oxfordshire,2020-09-16,1.3,1.6,1.9,2.2,2.3,inferred
South Oxfordshire,2020-09-17,1.5,1.7,1.9,2.3,2.5,inferred
South Oxfordshire,2020-09-18,1.6,1.7,2.2,2.3,3.0,inferred
South Oxfordshire,2020-09-19,1.8,1.8,2.4,2.6,3.3,inferred
South Oxfordshire,2020-09-20,2.0,2.0,2.5,2.9,3.4,inferred
South Oxfordshire,2020-09-21,2.0,2.1,2.5,3.1,3.7,inferred
South Oxfordshire,2020-09-22,1.9,2.2,2.6,3.2,3.8,inferred
South Oxfordshire,2020-09-23,1.9,2.4,2.8,3.2,3.6,inferred
South Oxfordshire,2020-09-24,2.0,2.6,3.0,3.3,3.6,inferred
South Oxfordshire,2020-09-25,2.3,2.8,3.1,3.5,3.7,inferred
South Oxfordshire,2020-09-26,2.6,2.9,3.3,3.8,4.0,inferred
South Oxfordshire,2020-09-27,2.9,3.1,3.6,4.2,4.5,inferred
South Oxfordshire,2020-09-28,3.1,3.5,3.9,4.5,5.0,inferred
South Oxfordshire,2020-09-29,3.2,3.9,4.3,4.8,5.3,inferred
South Oxfordshire,2020-09-30,3.6,4.1,4.8,5.2,5.7,inferred
South Oxfordshire,2020-10-01,4.4,5.0,5.3,6.1,6.4,inferred
South Oxfordshire,2020-10-02,5.1,5.5,6.2,7.1,7.3,inferred
South Oxfordshire,2020-10-03,5.8,6.2,7.1,8.2,8.4,inferred
South Oxfordshire,2020-10-04,6.1,7.2,7.7,8.8,9.6,inferred
South Oxfordshire,2020-10-05,6.7,7.4,8.2,9.2,10.3,inferred
South Oxfordshire,2020-10-06,7.5,7.6,8.4,9.2,10.3,inferred
South Oxfordshire,2020-10-07,8.0,8.2,8.6,9.4,9.9,inferred
South Oxfordshire,2020-10-08,7.9,8.7,9.0,9.5,10.6,inferred
South Oxfordshire,2020-10-09,7.6,8.9,9.4,10.2,11.4,inferred
South Oxfordshire,2020-10-10,7.5,9.5,10.0,11.0,12.2,inferred
South Oxfordshire,2020-10-11,8.0,10.7,11.0,11.8,12.9,inferred
South Oxfordshire,2020-10-12,9.2,11.3,12.3,13.2,14.1,inferred
South Oxfordshire,2020-10-13,10.4,11.8,12.9,13.7,16.0,inferred
South Oxfordshire,2020-10-14,11.4,12.0,13.2,14.4,17.6,inferred
South Oxfordshire,2020-10-15,11.8,12.3,13.4,14.4,17.7,inferred
South Oxfordshire,2020-10-16,11.3,12.3,13.8,15.5,17.8,inferred
South Oxfordshire,2020-10-17,11.3,12.8,14.6,15.8,19.3,inferred
South Oxfordshire,2020-10-18,12.3,13.7,15.4,17.3,21.4,inferred
South Oxfordshire,2020-10-19,13.8,15.0,16.3,19.0,23.3,inferred
South Oxfordshire,2020-10-20,15.6,16.6,17.3,19.7,24.1,inferred
South Oxfordshire,2020-10-21,17.0,17.3,18.6,20.4,24.1,inferred
South Oxfordshire,2020-10-22,17.4,18.3,19.0,21.1,23.7,inferred
South Oxfordshire,2020-10-23,17.8,18.6,19.1,20.8,23.5,inferred
South Oxfordshire,2020-10-24,18.1,18.8,19.7,20.3,23.4,inferred
South Oxfordshire,2020-10-25,18.6,19.0,20.2,20.9,23.4,inferred
South Oxfordshire,2020-10-26,18.9,19.4,21.0,22.1,24.5,inferred
South Oxfordshire,2020-10-27,19.0,20.0,21.5,24.3,25.9,inferred
South Oxfordshire,2020-10-28,19.0,20.8,22.0,25.3,26.9,inferred
South Oxfordshire,2020-10-29,19.9,21.9,22.8,25.9,27.7,inferred
South Oxfordshire,2020-10-30,21.2,22.8,23.3,26.1,26.5,inferred
South Oxfordshire,2020-10-31,21.5,23.1,23.7,25.6,25.8,inferred
South Oxfordshire,2020-11-01,20.9,23.1,24.5,25.5,26.2,inferred
South Oxfordshire,2020-11-02,19.8,24.2,25.0,25.8,27.7,inferred
South Oxfordshire,2020-11-03,20.4,24.5,25.7,26.6,29.4,inferred
South Oxfordshire,2020-11-04,21.5,24.5,26.6,27.7,30.4,inferred
South Oxfordshire,2020-11-05,22.3,24.6,27.3,28.2,30.6,inferred
South Oxfordshire,2020-11-06,22.6,25.0,27.6,27.9,30.0,inferred
South Oxfordshire,2020-11-07,22.6,25.7,27.3,28.2,31.3,inferred
South Oxfordshire,2020-11-08,23.0,25.1,26.9,27.8,31.2,inferred
South Oxfordshire,2020-11-09,23.5,24.2,26.7,27.0,29.5,inferred
South Oxfordshire,2020-11-10,22.7,23.4,25.1,26.6,27.3,inferred
South Oxfordshire,2020-11-11,21.3,22.0,24.1,25.6,25.9,inferred
South Oxfordshire,2020-11-12,18.4,21.1,23.3,24.2,25.0,inferred
South Oxfordshire,2020-11-13,16.8,19.7,22.0,22.5,24.0,inferred
South Oxfordshire,2020-11-14,16.6,19.1,20.9,22.0,22.8,inferred
South Oxfordshire,2020-11-15,17.2,19.2,19.8,21.6,22.1,inferred
South Oxfordshire,2020-11-16,18.2,18.7,19.4,20.6,21.8,inferred
South Oxfordshire,2020-11-17,17.3,19.1,19.5,19.9,21.1,inferred
South Oxfordshire,2020-11-18,15.8,18.0,19.5,19.9,20.7,inferred
South Oxfordshire,2020-11-19,14.1,17.6,18.8,19.9,20.9,inferred
South Oxfordshire,2020-11-20,12.3,16.5,18.3,19.8,20.9,inferred
Swindon,2020-08-01,14.7,14.7,14.7,14.7,14.7,inferred
Swindon,2020-08-02,14.7,14.7,14.7,14.7,14.7,inferred
Swindon,2020-08-03,15.1,15.1,15.1,15.2,15.2,inferred
Swindon,2020-08-04,15.8,15.9,15.9,16.0,16.1,inferred
Swindon,2020-08-05,16.0,16.1,16.5,16.6,17.0,inferred
Swindon,2020-08-06,15.5,15.6,16.1,16.4,17.3,inferred
Swindon,2020-08-07,14.4,14.6,15.4,15.9,16.9,inferred
Swindon,2020-08-08,12.8,13.3,14.8,15.3,15.8,inferred
Swindon,2020-08-09,11.3,11.9,13.8,14.6,15.4,inferred
Swindon,2020-08-10,10.6,11.6,12.6,14.5,15.6,inferred
Swindon,2020-08-11,10.5,11.7,12.2,14.2,15.4,inferred
Swindon,2020-08-12,11.1,11.4,12.7,14.2,15.1,inferred
Swindon,2020-08-13,10.9,11.8,13.4,14.3,14.9,inferred
Swindon,2020-08-14,10.9,12.2,13.0,14.4,15.4,inferred
Swindon,2020-08-15,11.0,11.5,12.9,13.8,15.6,inferred
Swindon,2020-08-16,11.1,11.2,12.8,13.3,15.6,inferred
Swindon,2020-08-17,11.2,11.5,12.7,13.7,15.7,inferred
Swindon,2020-08-18,11.1,11.4,12.5,14.3,15.9,inferred
Swindon,2020-08-19,10.5,11.3,11.9,14.3,15.3,inferred
Swindon,2020-08-20,10.0,10.9,11.1,13.4,14.6,inferred
Swindon,2020-08-21,9.4,9.8,10.5,12.3,13.2,inferred
Swindon,2020-08-22,8.8,9.4,9.8,11.3,11.6,inferred
Swindon,2020-08-23,8.3,8.5,8.9,9.9,11.0,inferred
Swindon,2020-08-24,7.2,7.6,8.0,9.0,10.2,inferred
Swindon,2020-08-25,6.2,6.7,7.4,8.4,9.0,inferred
Swindon,2020-08-26,5.5,5.8,6.7,7.7,8.0,inferred
Swindon,2020-08-27,4.4,5.6,6.1,6.6,7.7,inferred
Swindon,2020-08-28,3.6,5.4,5.7,6.0,7.6,inferred
Swindon,2020-08-29,3.4,5.1,5.5,6.2,7.7,inferred
Swindon,2020-08-30,3.8,5.0,5.4,6.4,8.0,inferred
Swindon,2020-08-31,4.3,5.0,5.6,6.2,8.4,inferred
Swindon,2020-09-01,4.5,5.0,5.5,6.6,8.8,inferred
Swindon,2020-09-02,4.5,5.0,5.3,6.4,8.6,inferred
Swindon,2020-09-03,4.6,4.9,5.0,5.9,7.9,inferred
Swindon,2020-09-04,4.3,4.6,4.7,5.6,6.8,inferred
Swindon,2020-09-05,3.6,4.2,4.5,5.5,6.2,inferred
Swindon,2020-09-06,3.2,3.8,4.2,4.7,6.0,inferred
Swindon,2020-09-07,2.8,3.4,3.9,4.3,5.8,inferred
Swindon,2020-09-08,2.6,3.3,3.5,4.4,5.7,inferred
Swindon,2020-09-09,2.5,3.1,3.6,4.5,5.6,inferred
Swindon,2020-09-10,2.4,3.1,3.7,4.2,5.2,inferred
Swindon,2020-09-11,2.3,3.2,3.5,4.2,4.7,inferred
Swindon,2020-09-12,2.2,3.0,3.5,4.2,4.4,inferred
Swindon,2020-09-13,2.1,3.2,3.5,4.3,4.4,inferred
Swindon,2020-09-14,2.2,3.2,3.4,4.1,4.2,inferred
Swindon,2020-09-15,2.6,3.0,3.5,3.9,4.1,inferred
Swindon,2020-09-16,2.9,3.2,3.5,3.8,4.0,inferred
Swindon,2020-09-17,2.9,3.5,3.7,4.0,4.3,inferred
Swindon,2020-09-18,3.0,3.5,4.0,4.5,5.2,inferred
Swindon,2020-09-19,3.1,4.1,4.4,4.8,6.4,inferred
Swindon,2020-09-20,3.1,4.3,4.6,5.4,7.6,inferred
Swindon,2020-09-21,3.5,4.5,4.6,6.0,8.2,inferred
Swindon,2020-09-22,4.0,4.6,4.9,6.7,7.8,inferred
Swindon,2020-09-23,4.5,4.9,5.3,7.2,7.3,inferred
Swindon,2020-09-24,4.8,5.2,5.8,7.0,7.5,inferred
Swindon,2020-09-25,5.0,5.8,6.1,6.8,7.4,inferred
Swindon,2020-09-26,5.1,5.8,6.4,6.9,7.7,inferred
Swindon,2020-09-27,5.2,5.8,6.7,7.1,8.5,inferred
Swindon,2020-09-28,5.2,6.0,7.0,7.1,9.2,inferred
Swindon,2020-09-29,5.3,6.2,7.1,8.2,9.8,inferred
Swindon,2020-09-30,6.0,6.6,7.5,9.2,10.4,inferred
Swindon,2020-10-01,7.2,7.3,8.2,10.6,12.4,inferred
Swindon,2020-10-02,8.1,8.8,9.3,11.0,14.2,inferred
Swindon,2020-10-03,9.1,9.9,11.0,11.7,15.7,inferred
Swindon,2020-10-04,10.3,11.4,12.5,13.7,16.7,inferred
Swindon,2020-10-05,11.5,13.2,13.9,15.9,17.2,inferred
Swindon,2020-10-06,12.6,14.6,14.9,16.8,17.4,inferred
